adjective,gender,sentiment,type
absurd,neither,neg,character
condemned,neither,neg,character
envious,neither,neg,character
impressive,neither,pos,character
odd,neither,pos,character
stout,neither,neg,appearance
accomplished,neither,pos,character
confident,neither,pos,character
evil,neither,neg,character
inarticulate,neither,neg,character
old,neither,neg,character
strong,M,pos,character
admirable,neither,pos,character
confused,neither,neg,character
excited,neither,pos,character
incapable,neither,neg,character
oldish,neither,neg,character
stupid,neither,neg,character
adorable,F,pos,character
considerate,neither,pos,character
fair,neither,pos,character
inconsiderate,neither,neg,character
ordinary,neither,neg,character
superficial,F,neg,character
affable,M,pos,character
cool,neither,pos,character
faithful,neither,pos,character
inconvenient,neither,neg,character
passionate,neither,pos,character
sweet,F,pos,character
aggressive,M,neg,character
courageous,M,pos,character
famous,neither,pos,character
indelicate,neither,neg,character
patient,neither,pos,character
talented,neither,pos,character
alert,neither,pos,character
cowardly,neither,neg,character
fancy,neither,pos,character
influential,neither,pos,character
perfect,neither,pos,character
tame,F,neg,character
amazing,neither,pos,character
crazy,neither,neg,character
fantastic,neither,pos,character
insane,neither,neg,character
pitiful,neither,neg,character
tender,F,pos,character
ambitious,M,pos,character
creepy,neither,neg,character
feeble,neither,neg,character
insecure,F,neg,character
pleasant,neither,pos,character
terrible,neither,neg,character
amiable,neither,pos,character
critical,neither,pos,character
fierce,neither,pos,character
insignificant,neither,neg,character
polite,F,pos,character
thankful,neither,pos,character
angry,neither,neg,character
crude,neither,neg,character
filthy,neither,neg,character
intelligent,M,pos,character
poor,neither,neg,character
annoyed,neither,neg,character
cruel,neither,neg,character
fine,neither,pos,character
interesting,neither,pos,character
popular,neither,pos,character
thoughtless,neither,neg,character
anxious,neither,neg,character
dainty,F,neg,character
firm,M,pos,character
irrational,F,neg,character
positive,neither,pos,character
tidy,F,pos,character
arrogant,M,neg,character
dangerous,M,neg,character
focused,neither,pos,character
jealous,F,neg,character
powerful,M,pos,character
tough,M,pos,character
articulate,M,pos,character
dark,neither,neg,character
fracturable,neither,neg,character
jolly,neither,pos,character
professional,neither,pos,character
triumphant,neither,pos,character
arty,neither,pos,character
dead,neither,neg,character
fragile,F,neg,character
judicious,neither,pos,character
proud,neither,neg,character
unclean,neither,neg,character
awesome,neither,pos,character
deceased,neither,neg,character
frail,F,neg,character
kind,neither,pos,character
psycho,neither,neg,character
undiplomatic,neither,neg,character
awful,neither,neg,character
defiant,neither,neg,character
friable,neither,neg,character
layered,neither,pos,character
psychotic,neither,neg,character
unfaithful,neither,neg,character
awkward,neither,neg,character
delicate,F,neg,character
friendly,neither,pos,character
lazy,neither,neg,character
quiet,neither,neg,character
unimportant,neither,neg,character
bad,neither,neg,character
delightful,neither,pos,character
frightened,neither,neg,character
lesbian,F,neutral,character
rare,neither,pos,character
unintelligent,F,neg,character
bewildered,neither,neg,character
depressed,neither,neg,character
fun,neither,pos,character
lethargic,neither,neg,character
rational,M,pos,character
uninteresting,neither,neg,character
bisexual,neither,neutral,character
determined,M,pos,character
funny,M,pos,character
lively,neither,pos,character
ready,neither,pos,character
unlucky,neither,neg,character
bizarre,neither,neg,character
different,neither,neg,character
gay,M,neutral,character
lost,neither,neg,character
reasonable,neither,pos,character
unpleasing,neither,neg,character
bloody,neither,neg,character
difficult,neither,neg,character
generous,neither,pos,character
lovely,F,pos,character
